"user_id","ns_id"
"00000001-0000-0000-0000-000000000001",1
"00000002-0000-0000-0000-000000000002",2
"00000003-0000-0000-0000-000000000003",3
"00000004-0000-0000-0000-000000000004",4
"00000005-0000-0000-0000-000000000005",5
"00000006-0000-0000-0000-000000000006",6
"00000007-0000-0000-0000-000000000007",7
"00000008-0000-0000-0000-000000000008",8
"00000009-0000-0000-0000-000000000009",9
"00000010-0000-0000-0000-000000000010",10
"00000011-0000-0000-0000-000000000011",11
"00000012-0000-0000-0000-000000000012",12
"00000013-0000-0000-0000-000000000013",13
"00000014-0000-0000-0000-000000000014",14
"00000016-0000-0000-0000-000000000016",15
"00000017-0000-0000-0000-000000000017",16
"00000018-0000-0000-0000-000000000018",17
"00000020-0000-0000-0000-000000000020",18
"00000021-0000-0000-0000-000000000021",19
"00000022-0000-0000-0000-000000000022",20
"00000024-0000-0000-0000-000000000024",21
"00000025-0000-0000-0000-000000000025",22
"00000026-0000-0000-0000-000000000026",23
"00000027-0000-0000-0000-000000000027",24
"00000028-0000-0000-0000-000000000028",25
"00000029-0000-0000-0000-000000000029",26
"00000030-0000-0000-0000-000000000030",27
"00000031-0000-0000-0000-000000000031",28
"00000032-0000-0000-0000-000000000032",29
"00000033-0000-0000-0000-000000000033",30
"00000034-0000-0000-0000-000000000034",31
"00000035-0000-0000-0000-000000000035",32
"00000036-0000-0000-0000-000000000036",33
"00000037-0000-0000-0000-000000000037",34
"00000038-0000-0000-0000-000000000038",35
"00000039-0000-0000-0000-000000000039",36
"00000040-0000-0000-0000-000000000040",37
"00000041-0000-0000-0000-000000000041",38
"00000043-0000-0000-0000-000000000043",39
"00000045-0000-0000-0000-000000000045",40
"00000046-0000-0000-0000-000000000046",41
"00000047-0000-0000-0000-000000000047",42
"00000048-0000-0000-0000-000000000048",43
"00000049-0000-0000-0000-000000000049",44
"00000050-0000-0000-0000-000000000050",45
"00000051-0000-0000-0000-000000000051",46
"00000052-0000-0000-0000-000000000052",47
"00000053-0000-0000-0000-000000000053",48
"00000054-0000-0000-0000-000000000054",49
"00000055-0000-0000-0000-000000000055",50
"00000056-0000-0000-0000-000000000056",51
"00000057-0000-0000-0000-000000000057",52
"00000058-0000-0000-0000-000000000058",53
"00000059-0000-0000-0000-000000000059",54
"00000060-0000-0000-0000-000000000060",55
"00000061-0000-0000-0000-000000000061",56
"00000063-0000-0000-0000-000000000063",57
"00000064-0000-0000-0000-000000000064",58
"00000065-0000-0000-0000-000000000065",59
"00000066-0000-0000-0000-000000000066",60
"00000067-0000-0000-0000-000000000067",61
"00000068-0000-0000-0000-000000000068",62
"00000069-0000-0000-0000-000000000069",63
"00000015-0000-0000-0000-000000000015",64
"00000019-0000-0000-0000-000000000019",65
"00000023-0000-0000-0000-000000000023",66
"00000042-0000-0000-0000-000000000042",67
"00000044-0000-0000-0000-000000000044",68
"00000062-0000-0000-0000-000000000062",69
